codigo,nombre,tipo_estudio,modalidad,tipo_asignatura,prerrequisito,creditos_total,carrera,cohorte,archivo
U0006,FILOSOFÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
U0082,COMUNICACIÓN Y  REDACCIÓN I,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
U0130,CÁLCULO DIFERENCIAL PARA INGENIERÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
U0129,ÁLGEBRA MATRICIAL Y  GEOMETRÍA ANALÍTICA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
U0666,QUÍMICA GENERAL,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
U0148,INTRODUCCIÓN A LA  INGENIERÍA INFORMÁTICA,GENERAL,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2023,informatica_malla_2023.md
U0083,COMUNICACIÓN Y  REDACCIÓN II,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
U0137,CÁLCULO INTEGRAL PARA INGENIERÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
U0138,FÍSICA PARA INGENIERÍA 1,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
U0147,BIOLOGÍA PARA INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
U0150,PROCESOS DE INNOVACIÓN EN INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2023,informatica_malla_2023.md
U0149,FUNDAMENTOS DE  PROGRAMACIÓN,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
C0741,CÁLCULO VECTORIAL PARA INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
C0742,FÍSICA PARA INGENIERÍA 2,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
C8987,QUÍMICA COMPUTACIONAL Y  SIMULACIONES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
C0513,CIENCIAS SOCIALES,GENERAL,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2023,informatica_malla_2023.md
C8274,PROGRAMACIÓN ORIENTADA A OBJETOS,DE ESPECIALIDAD,SEMIPRESEN CIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
C8275,ESTRUCTURAS DISCRETAS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
C0743,ECUACIONES DIFERENCIALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
C1127,PROGRAMACIÓN AVANZADA,ESPECÍFICO,NO  PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
C0745,FÍSICA PARA INGENIERÍA 3,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
C0503,ESTADÍSTICA Y  PROBABILIDADES,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8276,ORGANIZACIÓN Y  ARQUITECTURA DE  COMPUTADORES,DE ESPECIALIDAD,SEMIPRESEN  CIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
C8277,ALGORITMOS Y ESTRUCTURA DE DATOS,DE ESPECIALIDAD,NO  PRESENCIAL,OBLIGATORIO,C8275,3,Ingeniería Informática,2023,informatica_malla_2023.md
C1324,FUNDAMENTOS DE DISEÑO,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2023,informatica_malla_2023.md
G0037,INGLÉS 1,GENERAL,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2023,informatica_malla_2023.md
C8278,ANÁLISIS Y DISEÑO DE  ALGORITMOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C8277,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8279,SISTEMAS OPERATIVOS,DE ESPECIALIDAD,SEMIPRESENCI AL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8280,COMUNICACIÓN DE DATOS Y REDES,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8281,INTRODUCCIÓN A MACHINE LEARNING,DE ESPECIALIDAD,NO  PRESENCIAL,OBLIGATORIO,C0503,4,Ingeniería Informática,2023,informatica_malla_2023.md
C1330,PROYECTOS DE INGENIERÍA 1,ESPECÍFICO,SEMIPRESENCI AL,OBLIGATORIO,,5,Ingeniería Informática,2023,informatica_malla_2023.md
C8282,BASES DE DATOS,DE ESPECIALIDAD,SEMIPRESENCI AL,OBLIGATORIO,C8277,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8283,IMPLEMENTACIÓN DE  LENGUAJES DE  PROGRAMACIÓN,DE ESPECIALIDAD,SEMIPRESENCI AL,OBLIGATORIO,C8279,4,Ingeniería Informática,2023,informatica_malla_2023.md
C8284,CRIPTOGRAFÍA Y SEGURIDAD INFORMÁTICA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C8279,3,Ingeniería Informática,2023,informatica_malla_2023.md
C0359,SISTEMAS DE INFORMACIÓN,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C8280,3,Ingeniería Informática,2023,informatica_malla_2023.md
