ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2023_001,Ingeniería Ambiental,2023,4,14.7,43,146,8,0
ING2023_002,Ingeniería Ambiental,2023,5,13.3,52,166,27,0
ING2023_003,Ingeniería Ambiental,2023,7,15.0,75,228,11,0
ING2023_004,Ingeniería Ambiental,2023,5,14.0,54,175,9,0
ING2023_005,Ingeniería Ambiental,2023,3,13.1,31,106,18,0
ING2023_006,Ingeniería Ambiental,2023,3,12.9,32,108,6,0
ING2023_007,Ingeniería Ambiental,2023,3,13.2,32,108,14,0
ING2023_008,Ingeniería Ambiental,2023,5,14.9,54,175,11,0
ING2023_009,Ingeniería Ambiental,2023,3,12.8,31,105,15,0
ING2023_010,Ingeniería Ambiental,2023,7,15.6,75,228,13,0
ING2023_011,Ingeniería Ambiental,2023,4,14.6,43,146,10,0
ING2023_012,Ingeniería Ambiental,2023,2,13.0,21,72,12,0
ING2023_013,Ingeniería Ambiental,2023,6,14.9,64,210,10,0
ING2023_014,Ingeniería Ambiental,2023,7,15.5,75,228,10,0
ING2023_015,Ingeniería Ambiental,2023,8,16.2,86,239,16,0
ING2023_016,Ingeniería Ambiental,2023,3,13.6,30,101,15,1
ING2023_017,Ingeniería Ambiental,2023,6,14.7,64,210,14,0
ING2023_018,Ingeniería Ambiental,2023,6,15.7,64,210,13,0
ING2023_019,Ingeniería Ambiental,2023,1,12.3,10,29,2,1
ING2023_020,Ingeniería Ambiental,2023,3,12.0,30,103,15,0
ING2023_021,Ingeniería Ambiental,2023,4,14.2,43,146,7,0
ING2023_022,Ingeniería Ambiental,2023,5,14.6,54,175,12,1
ING2023_023,Ingeniería Ambiental,2023,4,13.2,41,139,18,0
ING2023_024,Ingeniería Ambiental,2023,8,17.4,86,239,11,0
ING2023_025,Ingeniería Ambiental,2023,2,13.2,20,70,13,0
ING2023_026,Ingeniería Ambiental,2023,4,13.6,42,144,22,0
ING2023_027,Ingeniería Ambiental,2023,6,14.9,64,210,9,0
ING2023_028,Ingeniería Ambiental,2023,5,13.3,51,163,32,0
ING2023_029,Ingeniería Ambiental,2023,5,15.4,53,171,10,1
ING2023_030,Ingeniería Ambiental,2023,6,15.0,64,210,7,0
ING2023_031,Ingeniería Ambiental,2023,4,14.3,43,146,6,1
ING2023_032,Ingeniería Ambiental,2023,6,14.0,64,210,9,0
ING2023_033,Ingeniería Ambiental,2023,5,14.2,54,175,4,0
ING2023_034,Ingeniería Ambiental,2023,8,15.8,86,239,13,0
ING2023_035,Ingeniería Ambiental,2023,8,16.0,86,239,19,0
ING2023_036,Ingeniería Ambiental,2023,4,14.1,43,146,3,0
ING2023_037,Ingeniería Ambiental,2023,8,17.5,86,239,9,0
ING2023_038,Ingeniería Ambiental,2023,4,14.1,42,143,9,0
ING2023_039,Ingeniería Ambiental,2023,2,11.1,20,67,13,0
ING2023_040,Ingeniería Ambiental,2023,6,15.8,63,205,16,0
ING2023_041,Ingeniería Ambiental,2023,8,16.8,86,239,17,0
ING2023_042,Ingeniería Ambiental,2023,8,15.7,86,239,19,0
ING2023_043,Ingeniería Ambiental,2023,1,12.2,9,24,7,0
ING2023_044,Ingeniería Ambiental,2023,1,10.3,9,27,11,0
ING2023_045,Ingeniería Ambiental,2023,2,13.0,21,72,11,0
ING2023_046,Ingeniería Ambiental,2023,1,12.2,10,29,2,1
ING2023_047,Ingeniería Ambiental,2023,6,14.6,64,210,12,0
ING2023_048,Ingeniería Ambiental,2023,5,13.7,53,170,24,0
ING2023_049,Ingeniería Ambiental,2023,6,14.6,63,208,8,0
ING2023_050,Ingeniería Ambiental,2023,9,17.3,97,250,15,0
ING2023_051,Ingeniería Ambiental,2023,8,16.1,85,237,20,0
ING2023_052,Ingeniería Ambiental,2023,5,14.3,54,175,9,0
ING2023_053,Ingeniería Ambiental,2023,1,10.3,4,12,19,0
ING2023_054,Ingeniería Ambiental,2023,6,15.9,64,210,12,0
ING2023_055,Ingeniería Ambiental,2023,5,14.1,54,175,10,0
ING2023_056,Ingeniería Ambiental,2023,4,13.3,43,146,15,0
ING2023_057,Ingeniería Ambiental,2023,5,13.5,53,170,25,0
ING2023_058,Ingeniería Ambiental,2023,4,12.6,42,143,16,0
ING2023_059,Ingeniería Ambiental,2023,3,13.5,32,108,10,0
ING2023_060,Ingeniería Ambiental,2023,2,11.5,17,61,21,0
ING2023_061,Ingeniería Ambiental,2023,3,13.9,32,108,11,0
ING2023_062,Ingeniería Ambiental,2023,4,12.8,42,144,17,0
ING2023_063,Ingeniería Ambiental,2023,3,12.1,32,108,15,0
ING2023_064,Ingeniería Ambiental,2023,3,12.9,30,103,13,0
ING2023_065,Ingeniería Ambiental,2023,3,13.2,32,108,14,1
ING2023_066,Ingeniería Ambiental,2023,4,13.2,42,141,25,1
ING2023_067,Ingeniería Ambiental,2023,5,15.0,54,175,7,0
ING2023_068,Ingeniería Ambiental,2023,4,12.7,43,146,14,0
ING2023_069,Ingeniería Ambiental,2023,5,13.9,50,164,31,0
ING2023_070,Ingeniería Ambiental,2023,2,13.2,21,72,4,0
ING2023_071,Ingeniería Ambiental,2023,6,14.3,64,210,11,0
ING2023_072,Ingeniería Ambiental,2023,3,12.5,30,100,15,0
ING2023_073,Ingeniería Ambiental,2023,1,10.0,6,15,17,1
ING2023_074,Ingeniería Ambiental,2023,5,15.2,54,175,8,0
ING2023_075,Ingeniería Ambiental,2023,3,12.5,30,101,24,1
ING2023_076,Ingeniería Ambiental,2023,6,14.3,63,207,12,0
ING2023_077,Ingeniería Ambiental,2023,3,13.7,32,108,18,0
ING2023_078,Ingeniería Ambiental,2023,4,12.8,43,146,17,0
ING2023_079,Ingeniería Ambiental,2023,7,14.9,75,228,14,0
ING2023_080,Ingeniería Ambiental,2023,5,13.4,52,170,22,0
ING2023_081,Ingeniería Ambiental,2023,5,15.4,54,175,10,0
ING2023_082,Ingeniería Ambiental,2023,6,15.0,64,210,13,0
ING2023_083,Ingeniería Ambiental,2023,6,15.6,64,210,16,0
ING2023_084,Ingeniería Ambiental,2023,4,13.9,41,138,24,1
ING2023_085,Ingeniería Ambiental,2023,6,14.3,64,210,13,0
ING2023_086,Ingeniería Ambiental,2023,5,14.5,54,175,7,1
ING2023_087,Ingeniería Ambiental,2023,6,15.8,64,210,12,0
ING2023_088,Ingeniería Ambiental,2023,1,12.0,9,26,5,0
ING2023_089,Ingeniería Ambiental,2023,1,12.1,10,29,2,1
ING2023_090,Ingeniería Ambiental,2023,8,16.4,86,239,9,0
ING2023_091,Ingeniería Ambiental,2023,2,11.9,15,53,27,1
ING2023_092,Ingeniería Ambiental,2023,2,12.9,21,72,10,0
ING2023_093,Ingeniería Ambiental,2023,2,13.1,21,72,11,0
ING2023_094,Ingeniería Ambiental,2023,4,12.9,42,142,21,0
ING2023_095,Ingeniería Ambiental,2023,6,14.1,64,210,11,0
ING2023_096,Ingeniería Ambiental,2023,2,11.4,19,65,20,0
ING2023_097,Ingeniería Ambiental,2023,6,14.6,64,210,11,0
ING2023_098,Ingeniería Ambiental,2023,5,15.3,53,170,16,0
ING2023_099,Ingeniería Ambiental,2023,6,14.0,64,210,15,0
ING2023_100,Ingeniería Ambiental,2023,4,13.1,40,136,23,0
