ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2021_001,Ingeniería Ambiental,2021,6,14.7,69,220,17,1
ING2021_002,Ingeniería Ambiental,2021,5,14.3,57,180,10,0
ING2021_003,Ingeniería Ambiental,2021,2,12.8,22,70,13,0
ING2021_004,Ingeniería Ambiental,2021,2,12.1,23,75,5,0
ING2021_005,Ingeniería Ambiental,2021,4,14.0,46,148,5,0
ING2021_006,Ingeniería Ambiental,2021,4,14.0,46,148,8,0
ING2021_007,Ingeniería Ambiental,2021,2,11.8,17,60,26,0
ING2021_008,Ingeniería Ambiental,2021,2,12.7,23,75,8,1
ING2021_009,Ingeniería Ambiental,2021,5,14.0,58,185,7,0
ING2021_010,Ingeniería Ambiental,2021,5,15.3,58,185,8,1
ING2021_011,Ingeniería Ambiental,2021,3,13.0,33,108,9,0
ING2021_012,Ingeniería Ambiental,2021,7,14.9,80,238,17,0
ING2021_013,Ingeniería Ambiental,2021,5,15.1,58,185,12,0
ING2021_014,Ingeniería Ambiental,2021,6,15.4,69,220,12,0
ING2021_015,Ingeniería Ambiental,2021,2,12.9,23,75,12,0
ING2021_016,Ingeniería Ambiental,2021,5,13.9,55,176,28,0
ING2021_017,Ingeniería Ambiental,2021,4,14.1,45,145,12,0
ING2021_018,Ingeniería Ambiental,2021,5,15.5,57,180,10,0
ING2021_019,Ingeniería Ambiental,2021,2,12.4,23,75,9,0
ING2021_020,Ingeniería Ambiental,2021,2,13.1,23,75,8,1
ING2021_021,Ingeniería Ambiental,2021,6,15.2,69,220,11,0
ING2021_022,Ingeniería Ambiental,2021,5,15.2,58,185,10,0
ING2021_023,Ingeniería Ambiental,2021,2,11.4,20,69,18,0
ING2021_024,Ingeniería Ambiental,2021,6,16.3,67,214,19,0
ING2021_025,Ingeniería Ambiental,2021,1,12.0,11,29,5,0
ING2021_026,Ingeniería Ambiental,2021,2,11.1,21,65,19,0
ING2021_027,Ingeniería Ambiental,2021,4,12.8,45,145,14,0
ING2021_028,Ingeniería Ambiental,2021,4,12.9,45,146,22,0
ING2021_029,Ingeniería Ambiental,2021,4,13.0,45,145,15,1
ING2021_030,Ingeniería Ambiental,2021,7,15.5,81,240,21,0
ING2021_031,Ingeniería Ambiental,2021,5,13.3,56,176,30,0
ING2021_032,Ingeniería Ambiental,2021,3,13.4,34,111,14,0
ING2021_033,Ingeniería Ambiental,2021,2,12.4,20,66,19,0
ING2021_034,Ingeniería Ambiental,2021,6,14.2,69,220,13,0
ING2021_035,Ingeniería Ambiental,2021,5,13.8,58,185,22,0
ING2021_036,Ingeniería Ambiental,2021,8,15.8,91,249,28,0
ING2021_037,Ingeniería Ambiental,2021,7,16.6,81,240,7,0
ING2021_038,Ingeniería Ambiental,2021,1,10.0,11,29,8,0
ING2021_039,Ingeniería Ambiental,2021,5,15.0,57,183,14,0
ING2021_040,Ingeniería Ambiental,2021,3,13.8,34,111,10,0
ING2021_041,Ingeniería Ambiental,2021,6,14.8,68,218,10,0
ING2021_042,Ingeniería Ambiental,2021,6,14.4,69,220,14,0
ING2021_043,Ingeniería Ambiental,2021,7,15.5,81,240,11,0
ING2021_044,Ingeniería Ambiental,2021,5,13.9,57,182,23,1
ING2021_045,Ingeniería Ambiental,2021,6,16.0,69,220,9,0
ING2021_046,Ingeniería Ambiental,2021,2,13.0,23,75,10,0
ING2021_047,Ingeniería Ambiental,2021,5,14.1,58,185,8,0
ING2021_048,Ingeniería Ambiental,2021,7,15.7,81,240,24,0
ING2021_049,Ingeniería Ambiental,2021,2,13.1,22,72,10,0
ING2021_050,Ingeniería Ambiental,2021,3,13.1,33,106,13,1
ING2021_051,Ingeniería Ambiental,2021,1,11.3,11,29,4,1
ING2021_052,Ingeniería Ambiental,2021,1,12.1,10,27,7,1
ING2021_053,Ingeniería Ambiental,2021,3,13.3,33,106,17,0
ING2021_054,Ingeniería Ambiental,2021,5,14.3,58,185,7,0
ING2021_055,Ingeniería Ambiental,2021,4,12.5,42,135,27,0
ING2021_056,Ingeniería Ambiental,2021,6,16.3,69,220,13,0
ING2021_057,Ingeniería Ambiental,2021,6,14.0,69,220,8,0
ING2021_058,Ingeniería Ambiental,2021,6,14.7,69,220,12,0
ING2021_059,Ingeniería Ambiental,2021,3,13.1,34,111,12,0
ING2021_060,Ingeniería Ambiental,2021,5,13.8,54,174,24,1
ING2021_061,Ingeniería Ambiental,2021,6,15.1,69,220,12,0
ING2021_062,Ingeniería Ambiental,2021,5,15.0,58,185,8,0
ING2021_063,Ingeniería Ambiental,2021,2,13.1,23,75,4,0
ING2021_064,Ingeniería Ambiental,2021,6,14.8,69,220,9,0
ING2021_065,Ingeniería Ambiental,2021,3,13.2,34,111,16,1
ING2021_066,Ingeniería Ambiental,2021,5,14.0,57,180,16,1
ING2021_067,Ingeniería Ambiental,2021,3,13.3,30,98,21,0
ING2021_068,Ingeniería Ambiental,2021,5,15.0,58,185,6,1
ING2021_069,Ingeniería Ambiental,2021,5,13.7,57,183,23,1
ING2021_070,Ingeniería Ambiental,2021,1,11.6,8,23,17,0
ING2021_071,Ingeniería Ambiental,2021,3,12.9,32,103,26,0
ING2021_072,Ingeniería Ambiental,2021,4,14.2,46,148,3,0
ING2021_073,Ingeniería Ambiental,2021,5,14.8,58,185,8,0
ING2021_074,Ingeniería Ambiental,2021,6,14.3,69,220,13,0
ING2021_075,Ingeniería Ambiental,2021,2,12.5,22,73,10,0
ING2021_076,Ingeniería Ambiental,2021,6,16.1,68,217,11,0
ING2021_077,Ingeniería Ambiental,2021,3,12.2,34,111,17,0
ING2021_078,Ingeniería Ambiental,2021,2,12.9,22,73,10,0
ING2021_079,Ingeniería Ambiental,2021,5,15.1,57,182,11,0
ING2021_080,Ingeniería Ambiental,2021,2,12.8,22,73,13,0
ING2021_081,Ingeniería Ambiental,2021,2,11.2,21,68,20,0
ING2021_082,Ingeniería Ambiental,2021,4,14.0,46,148,5,0
ING2021_083,Ingeniería Ambiental,2021,4,14.4,46,148,13,0
ING2021_084,Ingeniería Ambiental,2021,3,11.7,32,106,24,1
ING2021_085,Ingeniería Ambiental,2021,6,14.1,68,217,5,0
ING2021_086,Ingeniería Ambiental,2021,5,14.5,58,185,11,0
ING2021_087,Ingeniería Ambiental,2021,7,17.1,81,240,9,0
ING2021_088,Ingeniería Ambiental,2021,4,13.9,45,145,18,0
ING2021_089,Ingeniería Ambiental,2021,4,12.5,45,146,18,0
ING2021_090,Ingeniería Ambiental,2021,3,12.8,32,106,18,0
ING2021_091,Ingeniería Ambiental,2021,5,13.6,56,179,20,0
ING2021_092,Ingeniería Ambiental,2021,8,16.0,92,251,12,0
ING2021_093,Ingeniería Ambiental,2021,3,11.9,28,91,26,0
ING2021_094,Ingeniería Ambiental,2021,1,11.8,10,27,13,0
ING2021_095,Ingeniería Ambiental,2021,2,12.7,21,67,15,0
ING2021_096,Ingeniería Ambiental,2021,6,15.2,69,220,8,0
ING2021_097,Ingeniería Ambiental,2021,5,13.3,57,183,26,0
ING2021_098,Ingeniería Ambiental,2021,4,12.5,46,148,13,1
ING2021_099,Ingeniería Ambiental,2021,7,15.4,81,240,11,0
ING2021_100,Ingeniería Ambiental,2021,9,16.9,104,263,23,0
ING2021_101,Ingeniería Ambiental,2021,5,14.6,58,185,6,0
ING2021_102,Ingeniería Ambiental,2021,8,15.8,92,251,13,0
ING2021_103,Ingeniería Ambiental,2021,7,15.2,81,240,13,0
ING2021_104,Ingeniería Ambiental,2021,6,14.5,69,220,13,0
ING2021_105,Ingeniería Ambiental,2021,7,16.3,80,239,21,0
ING2021_106,Ingeniería Ambiental,2021,6,14.7,69,220,10,0
ING2021_107,Ingeniería Ambiental,2021,4,13.0,46,148,15,0
ING2021_108,Ingeniería Ambiental,2021,4,14.4,46,148,7,0
ING2021_109,Ingeniería Ambiental,2021,4,13.1,45,145,16,1
ING2021_110,Ingeniería Ambiental,2021,6,16.0,69,220,14,0
ING2021_111,Ingeniería Ambiental,2021,8,17.0,91,250,16,0
ING2021_112,Ingeniería Ambiental,2021,3,13.1,34,111,16,0
ING2021_113,Ingeniería Ambiental,2021,5,14.2,58,185,12,0
ING2021_114,Ingeniería Ambiental,2021,6,15.2,69,220,12,0
ING2021_115,Ingeniería Ambiental,2021,5,13.7,53,168,36,0
ING2021_116,Ingeniería Ambiental,2021,4,13.7,44,142,25,0
ING2021_117,Ingeniería Ambiental,2021,5,14.7,58,185,11,0
ING2021_118,Ingeniería Ambiental,2021,4,12.9,45,146,19,0
ING2021_119,Ingeniería Ambiental,2021,4,14.6,45,146,10,0
ING2021_120,Ingeniería Ambiental,2021,4,14.1,46,148,6,0
ING2021_121,Ingeniería Ambiental,2021,7,14.8,81,240,23,0
ING2021_122,Ingeniería Ambiental,2021,1,11.9,9,25,13,1
ING2021_123,Ingeniería Ambiental,2021,5,14.9,57,182,13,0
ING2021_124,Ingeniería Ambiental,2021,5,15.5,58,185,14,0
ING2021_125,Ingeniería Ambiental,2021,5,14.9,58,185,21,1
ING2021_126,Ingeniería Ambiental,2021,5,14.5,57,183,18,0
ING2021_127,Ingeniería Ambiental,2021,5,14.5,57,182,15,0
ING2021_128,Ingeniería Ambiental,2021,7,15.0,81,240,21,0
ING2021_129,Ingeniería Ambiental,2021,1,11.5,11,29,6,1
ING2021_130,Ingeniería Ambiental,2021,5,14.1,58,185,11,0
ING2021_131,Ingeniería Ambiental,2021,5,14.7,58,185,18,0
ING2021_132,Ingeniería Ambiental,2021,2,12.0,22,70,10,0
